1, Tony MARTIN, Omega Pharma-Quick Step, in 1:06:21
2, Tom DUMOULIN, Giant-Shimano, at 1:39
3, Jan BARTA, NetApp-Endura, at 1:47
4, Vincenzo NIBALI, Astana, at 1:58
5, Leopold KONIG, NetApp-Endura, at 2:02
6, Tejay VAN GARDEREN, BMC Racing, at 2:08
7, Jean-Christophe PERAUD, Ag2r La Mondiale, at 2:27
8, Sylvain CHAVANEL, IAM Cycling, at 2:36
9, Markel IRIZAR ARANBURU, Trek Factory Racing, at 2:39
10, Daniel OSS, BMC Racing, at 2:58
11, Danny PATE, Sky, at 3:01
12, Thibaut PINOT, FDJ.fr, at 3:12
13, Martin ELMIGER, IAM Cycling, at 3:12
14, Maciej BODNAR, Cannondale, at 3:13
15, Svein TUFT, Orica-GreenEdge, at 3:23
16, Peter VELITS, BMC Racing, at 3:24
17, Nelson Filipe SANTOS SIMOES OLIVEIRA, Lampre-Merida, at 3:30
18, Tanel KANGERT, Astana, at 3:35
19, Luke DURBRIDGE, Orica-GreenEdge, at 3:38
20, Lieuwe WESTRA, Astana, at 3:44
21, Haimar ZUBELDIA AGIRRE, Trek Factory Racing, at 3:45
22, Jon IZAGUIRRE INSAUSTI, Movistar, at 4:00
23, Andriy GRIVKO, Astana, at 4:05
24, Gatis SMUKULIS, Katusha, at 4:06
25, Giovanni VISCONTI, Movistar, at 4:15
26, Romain BARDET, Ag2r La Mondiale, at 4:17
27, José Joao PIMENTA COSTA MENDES, NetApp-Endura, at 4:23
28, Alejandro VALVERDE BELMONTE, Movistar, at 4:28
29, Jérémy ROY, FDJ.fr, at 4:30
30, Jesus HERRADA LOPEZ, Movistar, at 4:31
31, Rein TAARAMAE, Cofidis, at 4:41
32, Imanol ERVITI, Movistar, at 4:44
33, Dmitriy GRUZDEV, Astana, at 4:56
34, Geraint THOMAS, Sky, at 5:01
35, Florian VACHON, Bretagne-Seche Environnement, at 5:06
36, Johan VAN SUMMEREN, Garmin-Sharp, at 5:11
37, Matthieu LADAGNOUS, FDJ.fr, at 5:13
38, Vladimir ISAICHEV, Katusha, at 5:13
39, Anthony DELAPLACE, Bretagne-Seche Environnement, at 5:16
40, Benat INTXAUSTI ELORRIAGA, Movistar, at 5:16
41, Benjamin KING, Garmin-Sharp, at 5:18
42, Bartosz HUZARSKI, NetApp-Endura, at 5:19
43, Adrien PETIT, Cofidis, at 5:25
44, Tony GALLOPIN, Lotto-Belisol, at 5:31
45, Cyril LEMOINE, Cofidis, at 5:34
46, Steven KRUIJSWIJK, Belkin, at 5:43
47, Paul VOSS, NetApp-Endura, at 5:47
48, Jose Rodolfo SERPA PEREZ, Lampre-Merida, at 5:48
49, Tiago MACHADO, NetApp-Endura, at 5:50
50, Sergio Miguel MOREIRA PAULINHO, Tinkoff-Saxo, at 5:59
51, Perrig QUEMENEUR, Europcar, at 5:59
52, Jurgen VAN DEN BROECK, Lotto-Belisol, at 6:01
53, Michal KWIATKOWSKI, Omega Pharma-Quick Step, at 6:02
54, Christophe RIBLON, Ag2r La Mondiale, at 6:02
55, Laurens TEN DAM, Belkin, at 6:03
56, Jens KEUKELEIRE, Orica-GreenEdge, at 6:08
57, Andreas SCHILLINGER, NetApp-Endura, at 6:09
58, Rafal MAJKA, Tinkoff-Saxo, at 6:10
59, Luis Angel MATE MARDONES, Cofidis, at 6:10
60, Jérôme PINEAU, IAM Cycling, at 6:11
61, Michael ALBASINI, Orica-GreenEdge, at 6:14
62, Yury TROFIMOV, Katusha, at 6:18
63, Arnaud GERARD, Bretagne-Seche Environnement, at 6:18
64, Greg VAN AVERMAET, BMC Racing, at 6:21
65, Frank SCHLECK, Trek Factory Racing, at 6:22
66, Lars Ytting BAK, Lotto-Belisol, at 6:22
67, Marcel WYSS, IAM Cycling, at 6:29
68, Peter SAGAN, Cannondale, at 6:31
69, Bryan COQUARD, Europcar, at 6:33
70, Michele SCARPONI, Astana, at 6:37
71, Mickael DELAGE, FDJ.fr, at 6:39
72, Richie PORTE, Sky, at 6:41
73, Arnaud DEMARE, FDJ.fr, at 6:44
74, Nicolas EDET, Cofidis, at 6:52
75, Jan BAKELANTS, Omega Pharma-Quick Step, at 7:03
76, Matteo TRENTIN, Omega Pharma-Quick Step, at 7:04
77, Mikel NIEVE ITURALDE, Sky, at 7:04
78, Michael ROGERS, Tinkoff-Saxo, at 7:05
79, Zakkari DEMPSTER, NetApp-Endura, at 7:10
80, Lars BOOM, Belkin, at 7:11
81, Koen DE KORT, Giant-Shimano, at 7:12
82, Jurgen ROELANDTS, Lotto-Belisol, at 7:14
83, Christopher HORNER, Lampre-Merida, at 7:16
84, Marco MARCATO, Cannondale, at 7:18
85, Ben GASTAUER, Ag2r La Mondiale, at 7:18
86, Brice FEILLU, Bretagne-Seche Environnement, at 7:21
87, Alexander KRISTOFF, Katusha, at 7:23
88, Alexandre PICHOT, Europcar, at 7:23
89, Roger KLUGE, IAM Cycling, at 7:26
90, Pierre ROLLAND, Europcar, at 7:26
91, Michael SCHÄR, BMC Racing, at 7:27
92, John DEGENKOLB, Giant-Shimano, at 7:28
93, Michal GOLAS, Omega Pharma-Quick Step, at 7:29
94, Kévin REZA, Europcar, at 7:30
95, William BONNET, FDJ.fr, at 7:32
96, Marcel SIEBERG, Lotto-Belisol, at 7:33
97, Nicolas ROCHE, Tinkoff-Saxo, at 7:34
98, Adam HANSEN, Lotto-Belisol, at 7:36
99, Arnold JEANNESSON, FDJ.fr, at 7:36
100, Rudy MOLARD, Cofidis, at 7:37
101, Benoit JARRIER, Bretagne-Seche Environnement, at 7:40
102, Albert TIMMER, Giant-Shimano, at 7:41
103, Peter STETINA, BMC Racing, at 7:42
104, Matteo MONTAGUTI, Ag2r La Mondiale, at 7:43
105, Amaël MOINARD, BMC Racing, at 7:45
106, John GADRET, Movistar, at 7:47
107, Daniele BENNATI, Tinkoff-Saxo, at 7:48
108, Ruben PLAZA MOLINA, Movistar, at 7:50
109, Yukiya ARASHIRO, Europcar, at 7:54
110, Christian MEIER, Orica-GreenEdge, at 7:56
111, Jack BAUER, Garmin-Sharp, at 7:57
112, Sébastien REICHENBACH, IAM Cycling, at 7:59
113, Bernhard EISEL, Sky, at 8:05
114, Kristijan DURASEK, Lampre-Merida, at 8:06
115, Matteo TOSATTO, Tinkoff-Saxo, at 8:10
116, Kristijan KOREN, Cannondale, at 8:14
117, Florian GUILLOU, Bretagne-Seche Environnement, at 8:18
118, Tom Jelte SLAGTER, Garmin-Sharp, at 8:20
119, Bram TANKINK, Belkin, at 8:28
120, Cyril GAUTIER, Europcar, at 8:34
121, Tom VEELERS, Giant-Shimano, at 8:41
122, Sébastien MINARD, Ag2r La Mondiale, at 8:41
123, Ramunas NAVARDAUSKAS, Garmin-Sharp, at 8:42
124, Yohann GENE, Europcar, at 8:51
125, Jakob FUGLSANG, Astana, at 8:53
126, Julien SIMON, Cofidis, at 8:55
127, Alessandro PETACCHI, Omega Pharma-Quick Step, at 8:55
128, Michael MORKOV, Tinkoff-Saxo, at 8:55
129, Davide CIMOLAI, Lampre-Merida, at 8:56
130, André GREIPEL, Lotto-Belisol, at 8:59
131, Niki TERPSTRA, Omega Pharma-Quick Step, at 9:05
132, Vasil KIRYIENKA, Sky, at 9:13
133, Maxim IGLINSKY, Astana, at 9:14
134, Sep VANMARCKE, Belkin, at 9:14
135, Cédric PINEAU, FDJ.fr, at 9:15
136, Simon CLARKE, Orica-GreenEdge, at 9:16
137, Jean-Marc BIDEAU, Bretagne-Seche Environnement, at 9:18
138, Roy CURVERS, Giant-Shimano, at 9:19
139, Sebastian LANGEVELD, Garmin-Sharp, at 9:21
140, Bauke MOLLEMA, Belkin, at 9:26
141, Armindo FONSECA, Bretagne-Seche Environnement, at 9:28
142, Alessandro DE MARCHI, Cannondale, at 9:30
143, Joaquin RODRIGUEZ OLIVER, Katusha, at 9:31
